WAP_001,WAP_002,WAP_003,WAP_004,WAP_007,WAP_008,WAP_017,WAP_018,WAP_021,WAP_022,WAP_023,WAP_024,WAP_026,WAP_029,WAP_034,WAP_035,WAP_036,WAP_037,WAP_045,WAP_048,WAP_054,WAP_057,WAP_058,WAP_059,WAP_060,WAP_061,WAP_095,WAP_097,WAP_098,WAP_100,WAP_104,WAP_106,WAP_107,WAP_108,WAP_110,WAP_111,WAP_112,WAP_115,WAP_116,WAP_117,WAP_118,WAP_119,WAP_120,WAP_121,WAP_122,WAP_123,WAP_124,WAP_125,WAP_126,WAP_127,GRP
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-85,-90,-100,-100,-100,-100,-88,-100,-100,-78,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-71,-71,-60,-100,-78,-100,-100,-86,-86,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-85,-82,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-70,-69,-66,-100,-100,-100,-100,-86,-86,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-85,-82,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-70,-75,-69,-100,-81,-100,-100,-86,-86,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-80,-100,-100,-75,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-71,-71,-65,-63,-83,-100,-100,-100,-100,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-85,-90,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-68,-68,-64,-100,-78,-100,-100,-86,-86,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-80,-100,-100,-80,-100,-84,-85,-73,-100,-100,-100,-100,-100,-100,-100,-68,-68,-65,-64,-83,-100,-100,-100,-100,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-87,-100,-100,-82,-100,-100,-88,-73,-100,-100,-100,-100,-100,-100,-100,-68,-68,-66,-65,-84,-100,-100,-80,-78,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-83,-100,-100,-80,-100,-100,-88,-77,-100,-100,-100,-100,-100,-100,-100,-72,-72,-67,-67,-83,-100,-100,-82,-82,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-84,-100,-84,-85,-69,-100,-100,-100,-100,-100,-100,-100,-71,-71,-65,-64,-84,-100,-100,-83,-70,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-81,-83,-100,-100,-100,-100,-87,-100,-100,-83,-100,-100,-88,-71,-100,-100,-100,-100,-100,-100,-100,-72,-71,-65,-65,-84,-100,-100,-80,-78,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-83,-100,-100,-80,-100,-100,-88,-75,-100,-100,-100,-100,-100,-100,-100,-72,-71,-66,-67,-83,-100,-100,-84,-84,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-80,-100,-100,-80,-100,-80,-87,-81,-100,-100,-100,-100,-100,-100,-100,-71,-71,-62,-63,-82,-100,-100,-83,-81,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-87,-100,-100,-78,-100,-100,-85,-70,-100,-100,-100,-100,-100,-100,-100,-64,-63,-65,-67,-84,-100,-100,-80,-78,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-83,-100,-100,-81,-100,-80,-100,-74,-100,-100,-100,-100,-100,-100,-100,-68,-67,-68,-67,-83,-100,-100,-86,-87,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-77,-100,-80,-87,-72,-100,-100,-100,-100,-100,-100,-100,-67,-67,-64,-63,-84,-100,-100,-83,-81,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-85,-100,-87,-75,-100,-100,-100,-100,-100,-100,-100,-70,-70,-66,-100,-82,-100,-100,-87,-84,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-87,-100,-100,-79,-100,-100,-85,-77,-100,-100,-100,-100,-100,-100,-100,-71,-71,-66,-67,-82,-100,-100,-79,-82,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-84,-87,-100,-100,-100,-100,-83,-100,-100,-77,-100,-80,-100,-83,-100,-100,-100,-100,-100,-100,-100,-70,-71,-66,-67,-87,-100,-100,-86,-87,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-77,-100,-80,-87,-76,-100,-100,-100,-100,-100,-100,-100,-66,-67,-64,-63,-82,-100,-100,-87,-88,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-73,-85,-80,-87,-75,-100,-100,-100,-100,-100,-100,-100,-67,-67,-64,-63,-82,-100,-100,-87,-88,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-100,-100,-100,-100,-83,-100,-100,-77,-100,-80,-100,-74,-100,-100,-100,-100,-100,-100,-100,-66,-67,-59,-100,-100,-100,-100,-86,-84,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-83,-84,-100,-100,-100,-100,-83,-100,-100,-77,-100,-80,-100,-77,-100,-100,-100,-100,-100,-100,-100,-70,-71,-63,-100,-100,-100,-100,-86,-85,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-91,-92,-100,-100,-85,-84,-100,-100,-100,-76,-81,-100,-55,-60,-61,-64,-100,-100,-84,-100,-100,-100,-100,-58,-58,-63,-60,-100,-74,-74,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-100,-100,-100,-85,-81,-100,-62,-59,-59,-64,-100,-100,-84,-100,-100,-100,-100,-51,-54,-64,-60,-100,-73,-70,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-79,-100,-59,-57,-57,-66,-100,-100,-100,-100,-100,-100,-100,-68,-67,-65,-67,-100,-74,-74,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-83,-100,-58,-57,-54,-66,-100,-100,-85,-100,-100,-100,-100,-55,-53,-63,-62,-100,-73,-73,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-79,-100,-59,-63,-55,-70,-100,-100,-89,-100,-100,-100,-100,-61,-62,-69,-70,-100,-76,-73,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-80,-100,-58,-55,-53,-66,-100,-100,-89,-100,-100,-100,-100,-58,-58,-69,-69,-100,-76,-72,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-92,-100,-100,-100,-100,-100,-81,-78,-100,-62,-57,-56,-70,-100,-100,-100,-100,-100,-100,-100,-57,-59,-65,-63,-100,-67,-75,-100,-90,0
-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-85,-100,-67,-75,-100,-61,-53,-53,-78,-100,-100,-100,-100,-100,-100,-100,-58,-57,-71,-67,-100,-71,-71,-100,-88,0
-78,-78,-72,-72,-83,-83,-100,-100,-73,-73,-100,-100,-100,-100,-76,-76,-76,-74,-75,-74,-64,-65,-54,-53,-53,-53,-100,-56,-64,-100,-39,-38,-38,-85,-100,-100,-73,-100,-100,-88,-92,-83,-83,-100,-83,-100,-61,-60,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-85,-100,-85,-90,-72,-100,-100,-100,-100,-100,-100,-100,-49,-50,-57,-61,-87,-85,-88,-86,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-92,-92,-100,-100,-100,-100,-86,-100,-100,-85,-100,-100,-90,-78,-100,-100,-100,-100,-100,-100,-100,-50,-49,-58,-57,-87,-100,-100,-87,-88,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-92,-92,-100,-100,-100,-100,-86,-100,-100,-85,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-50,-50,-51,-53,-100,-100,-100,-91,-88,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-85,-85,-79,-100,-100,-100,-100,-100,-100,-100,-49,-49,-50,-53,-88,-100,-100,-91,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-85,-85,-67,-100,-100,-100,-100,-100,-100,-100,-51,-50,-53,-100,-88,-100,-100,-88,-89,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-88,-86,-74,-100,-100,-100,-100,-100,-100,-100,-43,-43,-54,-45,-88,-100,-100,-88,-89,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-88,-85,-66,-100,-100,-100,-100,-100,-100,-100,-48,-48,-56,-45,-87,-100,-100,-89,-89,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-87,-100,-88,-89,-64,-100,-100,-100,-100,-100,-100,-100,-44,-44,-49,-60,-86,-100,-100,-88,-90,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-83,-100,-84,-89,-64,-100,-100,-100,-100,-100,-100,-100,-46,-47,-51,-60,-86,-100,-100,-84,-85,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-91,-90,-100,-100,-100,-100,-100,-100,-100,-87,-100,-85,-88,-61,-100,-100,-100,-100,-100,-100,-100,-42,-43,-46,-51,-100,-100,-100,-86,-88,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-79,-79,-69,-100,-100,-100,-100,-100,-100,-100,-40,-40,-45,-51,-100,-100,-100,-86,-87,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-84,-80,-57,-100,-100,-100,-100,-100,-100,-100,-45,-46,-45,-45,-100,-100,-100,-87,-87,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-76,-57,-100,-100,-100,-100,-100,-100,-100,-41,-42,-47,-45,-100,-100,-100,-87,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-77,-84,-51,-100,-100,-100,-100,-100,-100,-100,-39,-38,-45,-35,-100,-100,-100,-88,-86,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-81,-77,-49,-100,-100,-100,-100,-100,-100,-100,-32,-32,-38,-35,-100,-100,-87,-88,-86,0
-100,-100,-100,-100,-100,-100,-100,-100,-90,-89,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-84,-52,-100,-100,-100,-100,-100,-100,-100,-31,-33,-38,-40,-85,-100,-87,-85,-87,0
-100,-100,-100,-100,-100,-100,-100,-100,-90,-89,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-78,-80,-52,-100,-100,-100,-100,-100,-100,-100,-34,-32,-38,-36,-80,-100,-100,-85,-87,0
-100,-100,-87,-90,-100,-100,-100,-100,-83,-82,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-81,-78,-83,-57,-100,-100,-89,-100,-100,-100,-100,-33,-33,-37,-34,-80,-100,-89,-87,-87,0
-100,-100,-87,-90,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-94,-69,-68,-65,-50,-100,-100,-89,-100,-100,-100,-100,-47,-47,-35,-34,-79,-100,-88,-87,-87,0
-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-94,-65,-72,-73,-49,-100,-100,-89,-100,-100,-100,-100,-44,-44,-39,-100,-83,-100,-88,-85,-84,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-94,-64,-67,-65,-45,-100,-100,-100,-100,-100,-100,-100,-48,-47,-53,-54,-83,-100,-100,-85,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-94,-69,-69,-68,-49,-100,-100,-100,-100,-100,-100,-100,-53,-54,-53,-54,-83,-87,-86,-85,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-69,-73,-72,-63,-100,-100,-100,-100,-100,-100,-100,-53,-54,-55,-58,-87,-79,-85,-85,-100,0
-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-67,-73,-72,-68,-100,-100,-92,-100,-100,-100,-100,-52,-54,-59,-58,-87,-79,-81,-100,-100,0
-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-63,-70,-69,-61,-100,-100,-92,-100,-100,-100,-100,-51,-51,-58,-59,-87,-77,-77,-100,-100,0
-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-63,-67,-67,-53,-100,-100,-92,-100,-100,-100,-100,-53,-53,-61,-59,-87,-76,-76,-100,-100,0
-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-83,-100,-59,-69,-67,-53,-100,-100,-92,-100,-100,-100,-100,-58,-57,-61,-59,-100,-79,-80,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-82,-100,-60,-69,-71,-64,-100,-100,-91,-100,-100,-100,-100,-56,-56,-59,-59,-100,-79,-80,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-82,-100,-58,-70,-73,-59,-100,-100,-91,-100,-100,-100,-100,-57,-57,-62,-100,-100,-77,-79,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-82,-100,-54,-62,-71,-60,-100,-100,-91,-100,-100,-100,-100,-62,-63,-62,-100,-100,-80,-83,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-85,-100,-58,-68,-72,-56,-100,-100,-91,-100,-100,-100,-100,-52,-52,-60,-53,-100,-80,-78,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-91,-92,-100,-100,-85,-84,-100,-100,-100,-79,-78,-100,-52,-60,-57,-64,-100,-100,-82,-100,-100,-100,-100,-64,-64,-69,-100,-100,-71,-71,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-91,-92,-100,-100,-85,-84,-100,-100,-100,-76,-81,-100,-55,-60,-61,-69,-100,-100,-82,-100,-100,-100,-100,-60,-60,-65,-60,-100,-71,-71,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-57,-63,-63,-73,-100,-100,-87,-100,-100,-100,-100,-62,-63,-64,-60,-100,-75,-74,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-77,-100,-61,-58,-57,-59,-100,-100,-100,-100,-100,-100,-100,-59,-59,-61,-58,-100,-74,-74,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-83,-100,-59,-54,-54,-70,-100,-100,-85,-100,-100,-100,-100,-64,-63,-66,-66,-100,-71,-73,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-79,-100,-57,-63,-63,-71,-100,-100,-89,-100,-100,-100,-100,-65,-63,-68,-68,-100,-80,-74,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-59,-52,-53,-78,-100,-100,-85,-100,-100,-100,-100,-58,-55,-67,-69,-100,-74,-72,-100,-100,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-92,-100,-100,-100,-100,-100,-81,-82,-100,-60,-62,-62,-74,-100,-100,-100,-100,-100,-100,-100,-62,-60,-69,-65,-100,-76,-75,-100,-100,0
-100,-100,-88,-88,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-85,-100,-73,-75,-100,-58,-50,-50,-70,-100,-100,-86,-100,-100,-100,-100,-63,-63,-70,-68,-100,-68,-67,-100,-88,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0
-73,-74,-61,-60,-80,-100,-100,-71,-63,-64,-72,-67,-100,-100,-78,-76,-78,-76,-92,-100,-70,-72,-65,-68,-62,-64,-100,-85,-74,-100,-58,-63,-58,-86,-100,-80,-53,-100,-100,-86,-100,-100,-100,-80,-82,-100,-73,-45,-100,-100,0
